LANDUSE,_COL2,ID,LUAS,FID_1,KELURAHAN,KECAMATAN,NAMA_DESA,SAMUDERA
Permukiman,213,3,2.960000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,7.670000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.000000000000000,0,,,,
Permukiman,213,3,3.150000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.470000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.300000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.240000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.240000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.400000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.700000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,6.620000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.390000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,12.580000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,3.460000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.230000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,45.210000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.320000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,2.260000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.920000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.170000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.110000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.160000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.190000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.660000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.380000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.370000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.120000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.200000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,0.100000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Permukiman,213,3,9.920000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
